user_id,tenant_label,match_rank,match_user_id,match_tenant_label,compatibility_score,explanation_short,explanation_long
3,Tenant_003,1,290,Tenant_290,89.52,"High compatibility driven by Noise tolerance, Privacy need and Sociability.","Tenant_003 matches well with Tenant_290 (score 89.52%). The strongest alignment is in Noise tolerance, Privacy need and Sociability, where their behavioural preferences are closely aligned."
3,Tenant_003,2,245,Tenant_245,84.29,"High compatibility driven by Cleanliness, Noise tolerance and Sleep schedule.","Tenant_003 matches well with Tenant_245 (score 84.29%). The strongest alignment is in Cleanliness, Noise tolerance and Sleep schedule, where their behavioural preferences are closely aligned."
3,Tenant_003,3,21,Tenant_021,80.24,"High compatibility driven by Sleep schedule, Sociability and Guest tolerance.","Tenant_003 matches well with Tenant_021 (score 80.24%). The strongest alignment is in Sleep schedule, Sociability and Guest tolerance, where their behavioural preferences are closely aligned."
3,Tenant_003,4,197,Tenant_197,80.24,"High compatibility driven by Cleanliness, Sleep schedule and Privacy need.","Tenant_003 matches well with Tenant_197 (score 80.24%). The strongest alignment is in Cleanliness, Sleep schedule and Privacy need, where their behavioural preferences are closely aligned."
3,Tenant_003,5,7,Tenant_007,78.81,"High compatibility driven by Cleanliness, Noise tolerance and Routine structure.","Tenant_003 matches well with Tenant_007 (score 78.81%). The strongest alignment is in Cleanliness, Noise tolerance and Routine structure, where their behavioural preferences are closely aligned."
4,Tenant_004,1,163,Tenant_163,81.9,"High compatibility driven by Cleanliness, Noise tolerance and Routine structure.","Tenant_004 matches well with Tenant_163 (score 81.9%). The strongest alignment is in Cleanliness, Noise tolerance and Routine structure, where their behavioural preferences are closely aligned."
4,Tenant_004,2,106,Tenant_106,81.67,"High compatibility driven by Cleanliness, Noise tolerance and Sleep schedule.","Tenant_004 matches well with Tenant_106 (score 81.67%). The strongest alignment is in Cleanliness, Noise tolerance and Sleep schedule, where their behavioural preferences are closely aligned."
4,Tenant_004,3,116,Tenant_116,81.43,"High compatibility driven by Cleanliness, Noise tolerance and Sleep schedule.","Tenant_004 matches well with Tenant_116 (score 81.43%). The strongest alignment is in Cleanliness, Noise tolerance and Sleep schedule, where their behavioural preferences are closely aligned."
4,Tenant_004,4,179,Tenant_179,80.71,"High compatibility driven by Cleanliness, Noise tolerance and Sleep schedule.","Tenant_004 matches well with Tenant_179 (score 80.71%). The strongest alignment is in Cleanliness, Noise tolerance and Sleep schedule, where their behavioural preferences are closely aligned."
4,Tenant_004,5,113,Tenant_113,80.48,"High compatibility driven by Cleanliness, Noise tolerance and Guest tolerance.","Tenant_004 matches well with Tenant_113 (score 80.48%). The strongest alignment is in Cleanliness, Noise tolerance and Guest tolerance, where their behavioural preferences are closely aligned."
5,Tenant_005,1,147,Tenant_147,83.57,"High compatibility driven by Noise tolerance, Sleep schedule and Privacy need.","Tenant_005 matches well with Tenant_147 (score 83.57%). The strongest alignment is in Noise tolerance, Sleep schedule and Privacy need, where their behavioural preferences are closely aligned."
5,Tenant_005,2,17,Tenant_017,81.9,"High compatibility driven by Noise tolerance, Cleanliness and Sleep schedule.","Tenant_005 matches well with Tenant_017 (score 81.9%). The strongest alignment is in Noise tolerance, Cleanliness and Sleep schedule, where their behavioural preferences are closely aligned."
5,Tenant_005,3,126,Tenant_126,80.95,"High compatibility driven by Sociability, Guest tolerance and Cleanliness.","Tenant_005 matches well with Tenant_126 (score 80.95%). The strongest alignment is in Sociability, Guest tolerance and Cleanliness, where their behavioural preferences are closely aligned."
5,Tenant_005,4,59,Tenant_059,80.48,"High compatibility driven by Privacy need, Sociability and Guest tolerance.","Tenant_005 matches well with Tenant_059 (score 80.48%). The strongest alignment is in Privacy need, Sociability and Guest tolerance, where their behavioural preferences are closely aligned."
5,Tenant_005,5,224,Tenant_224,80.48,"High compatibility driven by Noise tolerance, Sleep schedule and Guest tolerance.","Tenant_005 matches well with Tenant_224 (score 80.48%). The strongest alignment is in Noise tolerance, Sleep schedule and Guest tolerance, where their behavioural preferences are closely aligned."
6,Tenant_006,1,265,Tenant_265,87.14,"High compatibility driven by Noise tolerance, Sleep schedule and Privacy need.","Tenant_006 matches well with Tenant_265 (score 87.14%). The strongest alignment is in Noise tolerance, Sleep schedule and Privacy need, where their behavioural preferences are closely aligned."
6,Tenant_006,2,47,Tenant_047,85.95,"High compatibility driven by Cleanliness, Sleep schedule and Routine structure.","Tenant_006 matches well with Tenant_047 (score 85.95%). The strongest alignment is in Cleanliness, Sleep schedule and Routine structure, where their behavioural preferences are closely aligned."
6,Tenant_006,3,61,Tenant_061,84.52,"High compatibility driven by Cleanliness, Noise tolerance and Sociability.","Tenant_006 matches well with Tenant_061 (score 84.52%). The strongest alignment is in Cleanliness, Noise tolerance and Sociability, where their behavioural preferences are closely aligned."
6,Tenant_006,4,214,Tenant_214,82.38,"High compatibility driven by Cleanliness, Noise tolerance and Guest tolerance.","Tenant_006 matches well with Tenant_214 (score 82.38%). The strongest alignment is in Cleanliness, Noise tolerance and Guest tolerance, where their behavioural preferences are closely aligned."
6,Tenant_006,5,281,Tenant_281,82.38,"High compatibility driven by Cleanliness, Noise tolerance and Routine structure.","Tenant_006 matches well with Tenant_281 (score 82.38%). The strongest alignment is in Cleanliness, Noise tolerance and Routine structure, where their behavioural preferences are closely aligned."
7,Tenant_007,1,288,Tenant_288,83.81,"High compatibility driven by Noise tolerance, Privacy need and Sociability.","Tenant_007 matches well with Tenant_288 (score 83.81%). The strongest alignment is in Noise tolerance, Privacy need and Sociability, where their behavioural preferences are closely aligned."
7,Tenant_007,2,245,Tenant_245,82.14,"High compatibility driven by Cleanliness, Noise tolerance and Routine structure.","Tenant_007 matches well with Tenant_245 (score 82.14%). The strongest alignment is in Cleanliness, Noise tolerance and Routine structure, where their behavioural preferences are closely aligned."
7,Tenant_007,3,124,Tenant_124,81.19,"High compatibility driven by Cleanliness, Sleep schedule and Routine structure.","Tenant_007 matches well with Tenant_124 (score 81.19%). The strongest alignment is in Cleanliness, Sleep schedule and Routine structure, where their behavioural preferences are closely aligned."
7,Tenant_007,4,3,Tenant_003,78.81,"High compatibility driven by Cleanliness, Noise tolerance and Routine structure.","Tenant_007 matches well with Tenant_003 (score 78.81%). The strongest alignment is in Cleanliness, Noise tolerance and Routine structure, where their behavioural preferences are closely aligned."
7,Tenant_007,5,193,Tenant_193,78.57,"High compatibility driven by Sleep schedule, Privacy need and Sociability.","Tenant_007 matches well with Tenant_193 (score 78.57%). The strongest alignment is in Sleep schedule, Privacy need and Sociability, where their behavioural preferences are closely aligned."
8,Tenant_008,1,135,Tenant_135,88.81,"High compatibility driven by Cleanliness, Noise tolerance and Sleep schedule.","Tenant_008 matches well with Tenant_135 (score 88.81%). The strongest alignment is in Cleanliness, Noise tolerance and Sleep schedule, where their behavioural preferences are closely aligned."
8,Tenant_008,2,244,Tenant_244,85.95,"High compatibility driven by Cleanliness, Noise tolerance and Sleep schedule.","Tenant_008 matches well with Tenant_244 (score 85.95%). The strongest alignment is in Cleanliness, Noise tolerance and Sleep schedule, where their behavioural preferences are closely aligned."
8,Tenant_008,3,143,Tenant_143,83.81,"High compatibility driven by Privacy need, Routine structure and Cleanliness.","Tenant_008 matches well with Tenant_143 (score 83.81%). The strongest alignment is in Privacy need, Routine structure and Cleanliness, where their behavioural preferences are closely aligned."
8,Tenant_008,4,109,Tenant_109,83.1,"High compatibility driven by Cleanliness, Sleep schedule and Noise tolerance.","Tenant_008 matches well with Tenant_109 (score 83.1%). The strongest alignment is in Cleanliness, Sleep schedule and Noise tolerance, where their behavioural preferences are closely aligned."
8,Tenant_008,5,209,Tenant_209,82.86,"High compatibility driven by Sleep schedule, Privacy need and Routine structure.","Tenant_008 matches well with Tenant_209 (score 82.86%). The strongest alignment is in Sleep schedule, Privacy need and Routine structure, where their behavioural preferences are closely aligned."
9,Tenant_009,1,244,Tenant_244,84.52,"High compatibility driven by Cleanliness, Sociability and Guest tolerance.","Tenant_009 matches well with Tenant_244 (score 84.52%). The strongest alignment is in Cleanliness, Sociability and Guest tolerance, where their behavioural preferences are closely aligned."
9,Tenant_009,2,60,Tenant_060,83.1,"High compatibility driven by Noise tolerance, Privacy need and Routine structure.","Tenant_009 matches well with Tenant_060 (score 83.1%). The strongest alignment is in Noise tolerance, Privacy need and Routine structure, where their behavioural preferences are closely aligned."
9,Tenant_009,3,98,Tenant_098,79.76,"High compatibility driven by Sleep schedule, Privacy need and Routine structure.","Tenant_009 matches well with Tenant_098 (score 79.76%). The strongest alignment is in Sleep schedule, Privacy need and Routine structure, where their behavioural preferences are closely aligned."
9,Tenant_009,4,170,Tenant_170,79.76,"High compatibility driven by Routine structure, Guest tolerance and Cleanliness.","Tenant_009 matches well with Tenant_170 (score 79.76%). The strongest alignment is in Routine structure, Guest tolerance and Cleanliness, where their behavioural preferences are closely aligned."
9,Tenant_009,5,269,Tenant_269,79.52,"High compatibility driven by Sleep schedule, Privacy need and Sociability.","Tenant_009 matches well with Tenant_269 (score 79.52%). The strongest alignment is in Sleep schedule, Privacy need and Sociability, where their behavioural preferences are closely aligned."
10,Tenant_010,1,297,Tenant_297,85.95,"High compatibility driven by Cleanliness, Noise tolerance and Sleep schedule.","Tenant_010 matches well with Tenant_297 (score 85.95%). The strongest alignment is in Cleanliness, Noise tolerance and Sleep schedule, where their behavioural preferences are closely aligned."
10,Tenant_010,2,66,Tenant_066,78.81,"High compatibility driven by Noise tolerance, Sleep schedule and Routine structure.","Tenant_010 matches well with Tenant_066 (score 78.81%). The strongest alignment is in Noise tolerance, Sleep schedule and Routine structure, where their behavioural preferences are closely aligned."
10,Tenant_010,3,170,Tenant_170,78.81,"High compatibility driven by Sleep schedule, Privacy need and Sociability.","Tenant_010 matches well with Tenant_170 (score 78.81%). The strongest alignment is in Sleep schedule, Privacy need and Sociability, where their behavioural preferences are closely aligned."
10,Tenant_010,4,299,Tenant_299,78.81,"High compatibility driven by Noise tolerance, Sleep schedule and Guest tolerance.","Tenant_010 matches well with Tenant_299 (score 78.81%). The strongest alignment is in Noise tolerance, Sleep schedule and Guest tolerance, where their behavioural preferences are closely aligned."
10,Tenant_010,5,50,Tenant_050,78.1,"High compatibility driven by Noise tolerance, Privacy need and Cleanliness.","Tenant_010 matches well with Tenant_050 (score 78.1%). The strongest alignment is in Noise tolerance, Privacy need and Cleanliness, where their behavioural preferences are closely aligned."
11,Tenant_011,1,59,Tenant_059,81.9,"High compatibility driven by Cleanliness, Noise tolerance and Sleep schedule.","Tenant_011 matches well with Tenant_059 (score 81.9%). The strongest alignment is in Cleanliness, Noise tolerance and Sleep schedule, where their behavioural preferences are closely aligned."
11,Tenant_011,2,290,Tenant_290,80.95,"High compatibility driven by Cleanliness, Noise tolerance and Privacy need.","Tenant_011 matches well with Tenant_290 (score 80.95%). The strongest alignment is in Cleanliness, Noise tolerance and Privacy need, where their behavioural preferences are closely aligned."
11,Tenant_011,3,70,Tenant_070,80.71,"High compatibility driven by Cleanliness, Sleep schedule and Privacy need.","Tenant_011 matches well with Tenant_070 (score 80.71%). The strongest alignment is in Cleanliness, Sleep schedule and Privacy need, where their behavioural preferences are closely aligned."
11,Tenant_011,4,15,Tenant_015,80.48,"High compatibility driven by Cleanliness, Sleep schedule and Privacy need.","Tenant_011 matches well with Tenant_015 (score 80.48%). The strongest alignment is in Cleanliness, Sleep schedule and Privacy need, where their behavioural preferences are closely aligned."
11,Tenant_011,5,75,Tenant_075,79.52,"High compatibility driven by Noise tolerance, Sleep schedule and Privacy need.","Tenant_011 matches well with Tenant_075 (score 79.52%). The strongest alignment is in Noise tolerance, Sleep schedule and Privacy need, where their behavioural preferences are closely aligned."
12,Tenant_012,1,224,Tenant_224,86.9,"High compatibility driven by Noise tolerance, Privacy need and Routine structure.","Tenant_012 matches well with Tenant_224 (score 86.9%). The strongest alignment is in Noise tolerance, Privacy need and Routine structure, where their behavioural preferences are closely aligned."
12,Tenant_012,2,27,Tenant_027,84.29,"High compatibility driven by Cleanliness, Noise tolerance and Sociability.","Tenant_012 matches well with Tenant_027 (score 84.29%). The strongest alignment is in Cleanliness, Noise tolerance and Sociability, where their behavioural preferences are closely aligned."
12,Tenant_012,3,46,Tenant_046,82.86,"High compatibility driven by Routine structure, Guest tolerance and Noise tolerance.","Tenant_012 matches well with Tenant_046 (score 82.86%). The strongest alignment is in Routine structure, Guest tolerance and Noise tolerance, where their behavioural preferences are closely aligned."
12,Tenant_012,4,205,Tenant_205,82.62,"High compatibility driven by Noise tolerance, Routine structure and Guest tolerance.","Tenant_012 matches well with Tenant_205 (score 82.62%). The strongest alignment is in Noise tolerance, Routine structure and Guest tolerance, where their behavioural preferences are closely aligned."
12,Tenant_012,5,8,Tenant_008,81.43,"High compatibility driven by Cleanliness, Sleep schedule and Privacy need.","Tenant_012 matches well with Tenant_008 (score 81.43%). The strongest alignment is in Cleanliness, Sleep schedule and Privacy need, where their behavioural preferences are closely aligned."
13,Tenant_013,1,43,Tenant_043,82.86,"High compatibility driven by Sleep schedule, Privacy need and Routine structure.","Tenant_013 matches well with Tenant_043 (score 82.86%). The strongest alignment is in Sleep schedule, Privacy need and Routine structure, where their behavioural preferences are closely aligned."
13,Tenant_013,2,79,Tenant_079,81.67,"High compatibility driven by Noise tolerance, Sleep schedule and Privacy need.","Tenant_013 matches well with Tenant_079 (score 81.67%). The strongest alignment is in Noise tolerance, Sleep schedule and Privacy need, where their behavioural preferences are closely aligned."
13,Tenant_013,3,140,Tenant_140,78.57,"High compatibility driven by Cleanliness, Sleep schedule and Noise tolerance.","Tenant_013 matches well with Tenant_140 (score 78.57%). The strongest alignment is in Cleanliness, Sleep schedule and Noise tolerance, where their behavioural preferences are closely aligned."
13,Tenant_013,4,204,Tenant_204,78.57,"High compatibility driven by Sleep schedule, Privacy need and Routine structure.","Tenant_013 matches well with Tenant_204 (score 78.57%). The strongest alignment is in Sleep schedule, Privacy need and Routine structure, where their behavioural preferences are closely aligned."
13,Tenant_013,5,23,Tenant_023,77.38,"High compatibility driven by Noise tolerance, Cleanliness and Sleep schedule.","Tenant_013 matches well with Tenant_023 (score 77.38%). The strongest alignment is in Noise tolerance, Cleanliness and Sleep schedule, where their behavioural preferences are closely aligned."
14,Tenant_014,1,202,Tenant_202,90.0,"High compatibility driven by Noise tolerance, Sleep schedule and Routine structure.","Tenant_014 matches well with Tenant_202 (score 90.0%). The strongest alignment is in Noise tolerance, Sleep schedule and Routine structure, where their behavioural preferences are closely aligned."
14,Tenant_014,2,261,Tenant_261,83.33,"High compatibility driven by Cleanliness, Noise tolerance and Privacy need.","Tenant_014 matches well with Tenant_261 (score 83.33%). The strongest alignment is in Cleanliness, Noise tolerance and Privacy need, where their behavioural preferences are closely aligned."
14,Tenant_014,3,200,Tenant_200,80.71,"High compatibility driven by Noise tolerance, Sleep schedule and Privacy need.","Tenant_014 matches well with Tenant_200 (score 80.71%). The strongest alignment is in Noise tolerance, Sleep schedule and Privacy need, where their behavioural preferences are closely aligned."
14,Tenant_014,4,47,Tenant_047,78.1,"High compatibility driven by Cleanliness, Sleep schedule and Privacy need.","Tenant_014 matches well with Tenant_047 (score 78.1%). The strongest alignment is in Cleanliness, Sleep schedule and Privacy need, where their behavioural preferences are closely aligned."
14,Tenant_014,5,162,Tenant_162,77.62,"High compatibility driven by Sleep schedule, Routine structure and Guest tolerance.","Tenant_014 matches well with Tenant_162 (score 77.62%). The strongest alignment is in Sleep schedule, Routine structure and Guest tolerance, where their behavioural preferences are closely aligned."
15,Tenant_015,1,167,Tenant_167,87.38,"High compatibility driven by Cleanliness, Noise tolerance and Routine structure.","Tenant_015 matches well with Tenant_167 (score 87.38%). The strongest alignment is in Cleanliness, Noise tolerance and Routine structure, where their behavioural preferences are closely aligned."
15,Tenant_015,2,51,Tenant_051,82.14,"High compatibility driven by Cleanliness, Noise tolerance and Routine structure.","Tenant_015 matches well with Tenant_051 (score 82.14%). The strongest alignment is in Cleanliness, Noise tolerance and Routine structure, where their behavioural preferences are closely aligned."
15,Tenant_015,3,75,Tenant_075,80.95,"High compatibility driven by Sleep schedule, Privacy need and Routine structure.","Tenant_015 matches well with Tenant_075 (score 80.95%). The strongest alignment is in Sleep schedule, Privacy need and Routine structure, where their behavioural preferences are closely aligned."
15,Tenant_015,4,217,Tenant_217,80.95,"High compatibility driven by Cleanliness, Noise tolerance and Sleep schedule.","Tenant_015 matches well with Tenant_217 (score 80.95%). The strongest alignment is in Cleanliness, Noise tolerance and Sleep schedule, where their behavioural preferences are closely aligned."
15,Tenant_015,5,249,Tenant_249,80.95,"High compatibility driven by Cleanliness, Sleep schedule and Privacy need.","Tenant_015 matches well with Tenant_249 (score 80.95%). The strongest alignment is in Cleanliness, Sleep schedule and Privacy need, where their behavioural preferences are closely aligned."
16,Tenant_016,1,271,Tenant_271,83.57,"High compatibility driven by Noise tolerance, Sleep schedule and Privacy need.","Tenant_016 matches well with Tenant_271 (score 83.57%). The strongest alignment is in Noise tolerance, Sleep schedule and Privacy need, where their behavioural preferences are closely aligned."
16,Tenant_016,2,250,Tenant_250,83.1,"High compatibility driven by Noise tolerance, Sleep schedule and Privacy need.","Tenant_016 matches well with Tenant_250 (score 83.1%). The strongest alignment is in Noise tolerance, Sleep schedule and Privacy need, where their behavioural preferences are closely aligned."
16,Tenant_016,3,19,Tenant_019,82.86,"High compatibility driven by Noise tolerance, Routine structure and Sociability.","Tenant_016 matches well with Tenant_019 (score 82.86%). The strongest alignment is in Noise tolerance, Routine structure and Sociability, where their behavioural preferences are closely aligned."
16,Tenant_016,4,117,Tenant_117,82.86,"High compatibility driven by Cleanliness, Noise tolerance and Routine structure.","Tenant_016 matches well with Tenant_117 (score 82.86%). The strongest alignment is in Cleanliness, Noise tolerance and Routine structure, where their behavioural preferences are closely aligned."
16,Tenant_016,5,177,Tenant_177,81.19,"High compatibility driven by Privacy need, Routine structure and Sociability.","Tenant_016 matches well with Tenant_177 (score 81.19%). The strongest alignment is in Privacy need, Routine structure and Sociability, where their behavioural preferences are closely aligned."
17,Tenant_017,1,143,Tenant_143,85.0,"High compatibility driven by Cleanliness, Noise tolerance and Routine structure.","Tenant_017 matches well with Tenant_143 (score 85.0%). The strongest alignment is in Cleanliness, Noise tolerance and Routine structure, where their behavioural preferences are closely aligned."
17,Tenant_017,2,253,Tenant_253,84.76,"High compatibility driven by Cleanliness, Sleep schedule and Routine structure.","Tenant_017 matches well with Tenant_253 (score 84.76%). The strongest alignment is in Cleanliness, Sleep schedule and Routine structure, where their behavioural preferences are closely aligned."
17,Tenant_017,3,78,Tenant_078,83.33,"High compatibility driven by Cleanliness, Privacy need and Guest tolerance.","Tenant_017 matches well with Tenant_078 (score 83.33%). The strongest alignment is in Cleanliness, Privacy need and Guest tolerance, where their behavioural preferences are closely aligned."
17,Tenant_017,4,224,Tenant_224,83.33,"High compatibility driven by Cleanliness, Noise tolerance and Routine structure.","Tenant_017 matches well with Tenant_224 (score 83.33%). The strongest alignment is in Cleanliness, Noise tolerance and Routine structure, where their behavioural preferences are closely aligned."
17,Tenant_017,5,274,Tenant_274,82.38,"High compatibility driven by Cleanliness, Noise tolerance and Sleep schedule.","Tenant_017 matches well with Tenant_274 (score 82.38%). The strongest alignment is in Cleanliness, Noise tolerance and Sleep schedule, where their behavioural preferences are closely aligned."
18,Tenant_018,1,150,Tenant_150,82.86,"High compatibility driven by Noise tolerance, Routine structure and Guest tolerance.","Tenant_018 matches well with Tenant_150 (score 82.86%). The strongest alignment is in Noise tolerance, Routine structure and Guest tolerance, where their behavioural preferences are closely aligned."
18,Tenant_018,2,134,Tenant_134,80.95,"High compatibility driven by Cleanliness, Sleep schedule and Privacy need.","Tenant_018 matches well with Tenant_134 (score 80.95%). The strongest alignment is in Cleanliness, Sleep schedule and Privacy need, where their behavioural preferences are closely aligned."
18,Tenant_018,3,205,Tenant_205,80.24,"High compatibility driven by Sleep schedule, Privacy need and Guest tolerance.","Tenant_018 matches well with Tenant_205 (score 80.24%). The strongest alignment is in Sleep schedule, Privacy need and Guest tolerance, where their behavioural preferences are closely aligned."
18,Tenant_018,4,261,Tenant_261,80.24,"High compatibility driven by Privacy need, Routine structure and Guest tolerance.","Tenant_018 matches well with Tenant_261 (score 80.24%). The strongest alignment is in Privacy need, Routine structure and Guest tolerance, where their behavioural preferences are closely aligned."
18,Tenant_018,5,26,Tenant_026,80.0,"High compatibility driven by Sleep schedule, Privacy need and Sociability.","Tenant_018 matches well with Tenant_026 (score 80.0%). The strongest alignment is in Sleep schedule, Privacy need and Sociability, where their behavioural preferences are closely aligned."
19,Tenant_019,1,16,Tenant_016,82.86,"High compatibility driven by Noise tolerance, Routine structure and Sociability.","Tenant_019 matches well with Tenant_016 (score 82.86%). The strongest alignment is in Noise tolerance, Routine structure and Sociability, where their behavioural preferences are closely aligned."
19,Tenant_019,2,159,Tenant_159,80.24,"High compatibility driven by Cleanliness, Noise tolerance and Guest tolerance.","Tenant_019 matches well with Tenant_159 (score 80.24%). The strongest alignment is in Cleanliness, Noise tolerance and Guest tolerance, where their behavioural preferences are closely aligned."
19,Tenant_019,3,117,Tenant_117,80.0,"High compatibility driven by Noise tolerance, Routine structure and Sociability.","Tenant_019 matches well with Tenant_117 (score 80.0%). The strongest alignment is in Noise tolerance, Routine structure and Sociability, where their behavioural preferences are closely aligned."
19,Tenant_019,4,241,Tenant_241,78.81,"High compatibility driven by Privacy need, Routine structure and Guest tolerance.","Tenant_019 matches well with Tenant_241 (score 78.81%). The strongest alignment is in Privacy need, Routine structure and Guest tolerance, where their behavioural preferences are closely aligned."
19,Tenant_019,5,232,Tenant_232,78.33,"High compatibility driven by Cleanliness, Noise tolerance and Privacy need.","Tenant_019 matches well with Tenant_232 (score 78.33%). The strongest alignment is in Cleanliness, Noise tolerance and Privacy need, where their behavioural preferences are closely aligned."
20,Tenant_020,1,238,Tenant_238,87.62,"High compatibility driven by Cleanliness, Noise tolerance and Privacy need.","Tenant_020 matches well with Tenant_238 (score 87.62%). The strongest alignment is in Cleanliness, Noise tolerance and Privacy need, where their behavioural preferences are closely aligned."
20,Tenant_020,2,138,Tenant_138,84.76,"High compatibility driven by Noise tolerance, Sleep schedule and Privacy need.","Tenant_020 matches well with Tenant_138 (score 84.76%). The strongest alignment is in Noise tolerance, Sleep schedule and Privacy need, where their behavioural preferences are closely aligned."
20,Tenant_020,3,253,Tenant_253,81.67,"High compatibility driven by Cleanliness, Sleep schedule and Privacy need.","Tenant_020 matches well with Tenant_253 (score 81.67%). The strongest alignment is in Cleanliness, Sleep schedule and Privacy need, where their behavioural preferences are closely aligned."
20,Tenant_020,4,270,Tenant_270,80.0,"High compatibility driven by Cleanliness, Noise tolerance and Sleep schedule.","Tenant_020 matches well with Tenant_270 (score 80.0%). The strongest alignment is in Cleanliness, Noise tolerance and Sleep schedule, where their behavioural preferences are closely aligned."
20,Tenant_020,5,267,Tenant_267,78.33,"High compatibility driven by Cleanliness, Noise tolerance and Sleep schedule.","Tenant_020 matches well with Tenant_267 (score 78.33%). The strongest alignment is in Cleanliness, Noise tolerance and Sleep schedule, where their behavioural preferences are closely aligned."
21,Tenant_021,1,79,Tenant_079,87.14,"High compatibility driven by Noise tolerance, Sleep schedule and Privacy need.","Tenant_021 matches well with Tenant_079 (score 87.14%). The strongest alignment is in Noise tolerance, Sleep schedule and Privacy need, where their behavioural preferences are closely aligned."
21,Tenant_021,2,231,Tenant_231,83.81,"High compatibility driven by Cleanliness, Noise tolerance and Privacy need.","Tenant_021 matches well with Tenant_231 (score 83.81%). The strongest alignment is in Cleanliness, Noise tolerance and Privacy need, where their behavioural preferences are closely aligned."
21,Tenant_021,3,169,Tenant_169,80.71,"High compatibility driven by Sleep schedule, Privacy need and Guest tolerance.","Tenant_021 matches well with Tenant_169 (score 80.71%). The strongest alignment is in Sleep schedule, Privacy need and Guest tolerance, where their behavioural preferences are closely aligned."
21,Tenant_021,4,3,Tenant_003,80.24,"High compatibility driven by Sleep schedule, Sociability and Guest tolerance.","Tenant_021 matches well with Tenant_003 (score 80.24%). The strongest alignment is in Sleep schedule, Sociability and Guest tolerance, where their behavioural preferences are closely aligned."
21,Tenant_021,5,43,Tenant_043,79.76,"High compatibility driven by Sleep schedule, Privacy need and Routine structure.","Tenant_021 matches well with Tenant_043 (score 79.76%). The strongest alignment is in Sleep schedule, Privacy need and Routine structure, where their behavioural preferences are closely aligned."
22,Tenant_022,1,233,Tenant_233,85.0,"High compatibility driven by Noise tolerance, Sleep schedule and Routine structure.","Tenant_022 matches well with Tenant_233 (score 85.0%). The strongest alignment is in Noise tolerance, Sleep schedule and Routine structure, where their behavioural preferences are closely aligned."
22,Tenant_022,2,83,Tenant_083,83.1,"High compatibility driven by Cleanliness, Sleep schedule and Noise tolerance.","Tenant_022 matches well with Tenant_083 (score 83.1%). The strongest alignment is in Cleanliness, Sleep schedule and Noise tolerance, where their behavioural preferences are closely aligned."
22,Tenant_022,3,239,Tenant_239,79.29,"High compatibility driven by Cleanliness, Noise tolerance and Privacy need.","Tenant_022 matches well with Tenant_239 (score 79.29%). The strongest alignment is in Cleanliness, Noise tolerance and Privacy need, where their behavioural preferences are closely aligned."
